,OBJECTID,ID,SUB_1,SUB_2,VOLTAGE,TYPE,STATUS,SHAPE_Length,geometry
34893,34894,122566,UNKNOWN141217,TAP152450,138.0,AC; OVERHEAD,IN SERVICE,0.0005962651107027,"MULTILINESTRING ((-83.293687 40.218521, -83.2936588 40.2181846, -83.2938467 40.2180068))"
77182,77183,209175,TAP207788,UNKNOWN207789,69.0,AC; OVERHEAD,NOT AVAILABLE,0.0047191082886669,"MULTILINESTRING ((-114.1128018 47.6138357, -114.1136058 47.6138756, -114.1142244 47.6138756, -114.1164801 47.6139517, -114.1175176 47.6139993))"
52040,52041,175372,TAP154202,UNKNOWN170283,100.0,AC; OVERHEAD,IN SERVICE,0.0245335732580153,"MULTILINESTRING ((-80.9026089 35.0860877, -80.9026561 35.0859619, -80.9031159 35.0858694, -80.9037624 35.0856682, -80.9044704 35.0854208, -80.9056702 35.0839925, -80.9065121 35.0803176, -80.906619 35.0797091, -80.9067761 35.0776391, -80.90689 35.0761321, -80.9078848 35.0748053, -80.9081771 35.0733696, -80.9081679 35.0719092, -80.9088416 35.0701969, -80.9099313 35.0685064, -80.9081392 35.0673596, -80.9084631 35.0656199, -80.9087928 35.0656376))"
3200,3201,144869,TROY,TAP154683,161.0,AC; OVERHEAD,IN SERVICE,0.1053356544547206,"MULTILINESTRING ((-89.1571653 36.3341038, -89.1567492 36.3344869, -89.1531033 36.3350368, -89.1444534 36.3395871, -89.1435271 36.3399878, -89.1420715 36.3407436, -89.1409127 36.3413615, -89.1397234 36.3419572, -89.1388127 36.3428751, -89.1378552 36.3438264, -89.1366687 36.34498, -89.1356256 36.3459757, -89.1348502 36.3467469, -89.1342293 36.3474026, -89.1332056 36.347816, -89.1317072 36.3484516, -89.1303854 36.3490162, -89.128738 36.3497118, -89.1275156 36.3502363, -89.1252887 36.351192, -89.1238456 36.3518276, -89.1220768 36.352361, -89.1204846 36.3528455, -89.11892 36.3533277, -89.1173167 36.3538144, -89.1156804 36.3543189, -89.1128492 36.3551878, -89.1117482 36.3555234, -89.1094413 36.3562301, -89.1082446 36.356601, -89.10683 36.3570363, -89.1041802 36.3578502, -89.102828 36.3582619, -89.1016944 36.3586092, -89.1003285 36.3590288, -89.0985236 36.3595866, -89.096748 36.3601318, -89.0952514 36.3605907, -89.0943032 36.3608766, -89.0920378 36.361579, -89.0907871 36.3619373, -89.0895929 36.3624951, -89.0883461 36.3630529, -89.0868983 36.3636971, -89.0854817 36.3643366, -89.0831124 36.3653938, -89.0817391 36.3659834, -89.080921 36.3670095, -89.0796029 36.368663, -89.0788875 36.3695601, -89.0780679 36.3705882, -89.0769888 36.3719417, -89.0762916 36.3728162, -89.0753664 36.3734911, -89.0741902 36.3743491, -89.0730627 36.3751716, -89.0719731 36.3759664, -89.0708253 36.3768036, -89.069559 36.3777273, -89.0685544 36.3784601, -89.0672933 36.3785738, -89.0656753 36.3787197, -89.064565 36.3788199, -89.0643762 36.3788369))"
29885,29886,163816,BRISTOW,TAP160436,161.0,AC; OVERHEAD,IN SERVICE,0.0069484058870966,"MULTILINESTRING ((-86.3338278 37.0340042, -86.3333498 37.0335208, -86.334132 37.028449, -86.3343584 37.0273349))"
43947,43948,163075,TAP160207,UNKNOWN160208,69.0,AC; OVERHEAD,IN SERVICE,0.0008690949125217,"MULTILINESTRING ((-88.3893 37.775976, -88.389027 37.775395, -88.3892525 37.7753679))"
46331,46332,136284,UNKNOWN124589,UNKNOWN145524,-999999.0,OVERHEAD,IN SERVICE,0.0397286380876034,"MULTILINESTRING ((-77.9576213 42.1139905, -77.95761 42.114245, -77.958727 42.114822, -77.959263 42.11555, -77.96694 42.115541, -77.966966 42.117178, -77.967315 42.118096, -77.967277 42.118817, -77.967004 42.119655, -77.967054 42.122417, -77.966763 42.122867, -77.963768 42.122886, -77.962692 42.123284, -77.962837 42.123812, -77.961833 42.124473, -77.963073 42.126034, -77.963675 42.126848, -77.963744 42.127233, -77.963972 42.12754, -77.961143 42.128397, -77.960225 42.128749, -77.95972 42.128944, -77.961041 42.131681, -77.961905 42.13327, -77.962133 42.133832, -77.962457 42.134269, -77.962699 42.134576, -77.962952 42.134967, -77.962883 42.135026, -77.962483 42.135259, -77.962164 42.135443, -77.9621781 42.1356283))"
59037,59038,173136,UNKNOWN158399,ZOAR SWITCHING STATION,-999999.0,OVERHEAD,IN SERVICE,0.0727505180396673,"MULTILINESTRING ((-75.2859165 38.6472197, -75.277992 38.648691, -75.265522 38.65099, -75.264469 38.651158, -75.261053 38.653096, -75.260268 38.653549, -75.259286 38.653988, -75.254282 38.656058, -75.253212 38.656551, -75.247567 38.655719, -75.245592 38.65499, -75.239239 38.654779, -75.237886 38.65491, -75.233665 38.654847, -75.231684 38.654815, -75.228353 38.655546, -75.227821 38.655832, -75.227589 38.656691, -75.220878 38.656908, -75.218806 38.656384, -75.217756 38.654344, -75.217157 38.6540637))"
51328,51329,139608,UNKNOWN113513,TAP147991,115.0,AC; OVERHEAD,IN SERVICE,0.0010652168111075,"MULTILINESTRING ((-78.415551 35.6129397, -78.4164446 35.61236))"
82715,82716,302440,TAP301979,TAP306729,138.0,AC; OVERHEAD,IN SERVICE,0.0656931586519398,"MULTILINESTRING ((-95.2196977 29.8171953, -95.2189264 29.8171723, -95.2178988 29.8171914, -95.2178486 29.8171923, -95.2172243 29.8172038, -95.2171118 29.8172059, -95.2163623 29.8172198, -95.2162258 29.8172223, -95.1845501 29.8178088, -95.1644508 29.8181372, -95.157921 29.8181646, -95.1540917 29.8189423))"
1122,1123,114797,UNKNOWN110870,UNKNOWN110875,115.0,AC; OVERHEAD,IN SERVICE,0.061889262309563,"MULTILINESTRING ((-81.8951368 35.3493237, -81.8947923 35.3491632, -81.8951786 35.3486761, -81.896675 35.3467405, -81.8979625 35.345235, -81.8979368 35.3437489, -81.8972616 35.3412667, -81.8970365 35.3390041, -81.896676 35.3369321, -81.8963967 35.3354948, -81.8960788 35.3337498, -81.8953985 35.3300535, -81.8950568 35.3281895, -81.8947122 35.3262456, -81.8944775 35.3250602, -81.8941715 35.3233561, -81.8937823 35.3212399, -81.8934465 35.3193443, -81.8930336 35.3170873, -81.8927602 35.3156449, -81.8923384 35.3134364, -81.8919908 35.3114702, -81.8917353 35.3096398, -81.8914174 35.3082845, -81.8908974 35.3053532, -81.8906598 35.3038063, -81.890431 35.3023588, -81.8902111 35.3009597, -81.8898249 35.2986611, -81.889611 35.2972208, -81.8892604 35.2949826, -81.8888742 35.2927759, -81.8886157 35.2911269, -81.8884776 35.2900644, -81.8882851 35.2897879, -81.8882102 35.289721))"
34083,34084,121565,UNKNOWN132815,MONADNOCK,115.0,AC; OVERHEAD,IN SERVICE,0.4182660777659807,"MULTILINESTRING ((-72.1672834 42.830042, -72.1677674 42.830094, -72.168511 42.8315038, -72.1736328 42.8418842, -72.1770235 42.8454891, -72.1851435 42.8540195, -72.1877847 42.8569403, -72.2123883 42.8830191, -72.2165761 42.8874271, -72.2210733 42.8921206, -72.2236848 42.8967546, -72.2269506 42.9025664, -72.2290445 42.9064033, -72.2305733 42.9089017, -72.2319356 42.9112931, -72.2368253 42.919996, -72.2422981 42.9297875, -72.2481754 42.9401381, -72.2499838 42.9431957, -72.2523335 42.9473479, -72.2533567 42.9491027, -72.262928 42.9576093, -72.2661403 42.9604885, -72.2788347 42.971892, -72.2928557 42.9890182, -72.3041225 43.002361, -72.3046876 43.0043895, -72.3067993 43.0117123, -72.3085007 43.0174468, -72.3104221 43.0185592, -72.3188632 43.0200642, -72.3221112 43.0239011, -72.3271378 43.0259593, -72.3350495 43.0364111, -72.3381785 43.0404919, -72.3467386 43.0521036, -72.3566253 43.065042, -72.3600517 43.0696224, -72.3678742 43.0798541, -72.3786591 43.0911328, -72.3889383 43.1018879, -72.3938222 43.1047552, -72.3966478 43.1064267, -72.4021979 43.109758, -72.4037743 43.110686, -72.414345 43.1169678, -72.4206149 43.1206024, -72.4272179 43.1247664, -72.4307038 43.1267652, -72.4418779 43.132623))"
